Match_ID,Start Date,Country,Country_ID,Opposition,Ground,Toss,Score,Wickets,Overs,RPO,Target,Inns,Margin,Result
ODI # 3315,03-Jan-13,Pakistan,7,India,Kolkata,lost,250,10,48.3,5.15,,1,85 runs,won
ODI # 3315,03-Jan-13,India,6,Pakistan,Kolkata,won,165,10,48,3.43,251,2,85 runs,lost
ODI # 3316,06-Jan-13,Pakistan,7,India,Delhi,lost,157,10,48.5,3.21,168,2,10 runs,lost
ODI # 3316,06-Jan-13,India,6,Pakistan,Delhi,won,167,10,43.4,3.82,,1,10 runs,won
ODI # 3317,11-Jan-13,SriLanka,8,Australia,Melbourne,lost,198,10,40,4.95,306,2,107 runs,lost
ODI # 3317,11-Jan-13,Australia,2,Sri Lanka,Melbourne,won,305,5,50,6.1,,1,107 runs,won
ODI # 3318,11-Jan-13,India,6,England,Rajkot,lost,316,9,50,6.32,326,2,9 runs,lost
ODI # 3318,11-Jan-13,England,1,India,Rajkot,won,325,4,50,6.5,,1,9 runs,won
ODI # 3319,13-Jan-13,SriLanka,8,Australia,Adelaide,won,172,2,40.1,4.28,171,2,8 wickets,won
ODI # 3319,13-Jan-13,Australia,2,Sri Lanka,Adelaide,lost,170,10,46.5,3.62,,1,8 wickets,lost
ODI # 3320,15-Jan-13,India,6,England,Kochi,won,285,6,50,5.7,,1,127 runs,won
ODI # 3320,15-Jan-13,England,1,India,Kochi,lost,158,10,36,4.38,286,2,127 runs,lost
ODI # 3321,18-Jan-13,SriLanka,8,Australia,Brisbane,lost,75,6,20,3.75,75,2,4 wickets,won
ODI # 3321,18-Jan-13,Australia,2,Sri Lanka,Brisbane,won,74,10,26.4,2.77,,1,4 wickets,lost
ODI # 3322,19-Jan-13,India,6,England,Ranchi,won,157,3,28.1,5.57,156,2,7 wickets,won
ODI # 3322,19-Jan-13,England,1,India,Ranchi,lost,155,10,42.2,3.66,,1,7 wickets,lost
ODI # 3323,19-Jan-13,SouthAfrica,3,New Zealand,Paarl,lost,208,10,46.2,4.48,,1,1 wickets,lost
ODI # 3323,19-Jan-13,Newzealad,5,South Africa,Paarl,won,209,9,45.4,4.57,209,2,1 wickets,won
ODI # 3325,22-Jan-13,SouthAfrica,3,New Zealand,Kimberley,won,252,10,49.1,5.12,280,2,27 runs,lost
ODI # 3325,22-Jan-13,Newzealad,5,South Africa,Kimberley,lost,279,8,50,5.58,,1,27 runs,won
ODI # 3326,23-Jan-13,SriLanka,8,Australia,Hobart,won,215,10,48.3,4.43,248,2,32 runs,lost
ODI # 3326,23-Jan-13,Australia,2,Sri Lanka,Hobart,lost,247,5,50,4.94,,1,32 runs,won
ODI # 3327,23-Jan-13,India,6,England,Mohali,won,258,5,47.3,5.43,258,2,5 wickets,won
ODI # 3327,23-Jan-13,England,1,India,Mohali,lost,257,7,50,5.14,,1,5 wickets,lost
ODI # 3328,25-Jan-13,SouthAfrica,3,New Zealand,Potchefstroom,lost,264,9,50,5.28,261,2,1 wickets,won
ODI # 3328,25-Jan-13,Newzealad,5,South Africa,Potchefstroom,won,260,9,50,5.2,,1,1 wickets,lost
ODI # 3329,27-Jan-13,India,6,England,Dharamsala,lost,226,10,49.4,4.55,,1,7 wickets,lost
ODI # 3329,27-Jan-13,England,1,India,Dharamsala,won,227,3,47.2,4.79,227,2,7 wickets,won
ODI # 3330,01-Feb-13,WestIndies,4,Australia,Perth,won,70,10,23.5,2.93,,1,9 wickets,lost
ODI # 3330,01-Feb-13,Australia,2,West Indies,Perth,lost,71,1,9.2,7.6,71,2,9 wickets,won
ODI # 3331,03-Feb-13,WestIndies,4,Australia,Perth,won,212,10,38.1,5.55,267,2,54 runs,lost
ODI # 3331,03-Feb-13,Australia,2,West Indies,Perth,lost,266,7,50,5.32,,1,54 runs,won
ODI # 3332,06-Feb-13,WestIndies,4,Australia,Canberra,lost,290,10,47.3,6.1,330,2,39 runs,lost
ODI # 3332,06-Feb-13,Australia,2,West Indies,Canberra,won,329,7,50,6.58,,1,39 runs,won
ODI # 3333,08-Feb-13,WestIndies,4,Australia,Sydney,won,220,10,49.4,4.42,,1,5 wickets,lost
ODI # 3333,08-Feb-13,Australia,2,West Indies,Sydney,lost,221,5,44.5,4.92,221,2,5 wickets,won
ODI # 3334,10-Feb-13,WestIndies,4,Australia,Melbourne,won,257,10,49.5,5.15,275,2,17 runs,lost
ODI # 3334,10-Feb-13,Australia,2,West Indies,Melbourne,lost,274,5,50,5.48,,1,17 runs,won
ODI # 3335,17-Feb-13,Newzealad,5,England,Hamilton,won,259,7,48.5,5.3,259,2,3 wickets,won
ODI # 3335,17-Feb-13,England,1,New Zealand,Hamilton,lost,258,10,49.3,5.21,,1,3 wickets,lost
ODI # 3336,20-Feb-13,Newzealad,5,England,Napier,lost,269,10,48.5,5.5,,1,8 wickets,lost
ODI # 3336,20-Feb-13,England,1,New Zealand,Napier,won,270,2,47.4,5.66,270,2,8 wickets,won
ODI # 3338,23-Feb-13,Newzealad,5,England,Auckland,lost,185,10,43.5,4.22,,1,5 wickets,lost
ODI # 3338,23-Feb-13,England,1,New Zealand,Auckland,won,186,5,37.3,4.96,186,2,5 wickets,won
ODI # 3343,10-Mar-13,SouthAfrica,3,Pakistan,Bloemfontein,lost,315,4,50,6.3,,1,125 runs,won
ODI # 3343,10-Mar-13,Pakistan,7,South Africa,Bloemfontein,won,190,10,36.2,5.22,316,2,125 runs,lost
ODI # 3346,15-Mar-13,SouthAfrica,3,Pakistan,Centurion,won,191,10,43.2,4.4,,1,6 wickets,lost
ODI # 3346,15-Mar-13,Pakistan,7,South Africa,Centurion,lost,192,4,39.2,4.88,192,2,6 wickets,won
ODI # 3347,17-Mar-13,SouthAfrica,3,Pakistan,Johannesburg,lost,343,5,50,6.86,,1,34 runs,won
ODI # 3347,17-Mar-13,Pakistan,7,South Africa,Johannesburg,won,309,10,48.1,6.41,344,2,34 runs,lost
ODI # 3348,21-Mar-13,SouthAfrica,3,Pakistan,Durban,won,234,9,50,4.68,,1,3 wickets,lost
ODI # 3348,21-Mar-13,Pakistan,7,South Africa,Durban,lost,236,7,48.4,4.84,235,2,3 wickets,won
ODI # 3349,23-Mar-13,SriLanka,8,Bangladesh,Hambantota,won,238,2,35.4,6.67,238,2,8 wickets,won
ODI # 3349,23-Mar-13,Bangladesh,25,Sri Lanka,Hambantota,lost,259,8,50,5.18,,1,8 wickets,lost
ODI # 3350,24-Mar-13,SouthAfrica,3,Pakistan,Benoni,lost,208,4,44,4.72,206,2,6 wickets,won
ODI # 3350,24-Mar-13,Pakistan,7,South Africa,Benoni,won,205,10,49.1,4.16,,1,6 wickets,lost
ODI # 3352,28-Mar-13,SriLanka,8,Bangladesh,Pallekele,won,302,9,50,6.04,,1,3 wickets,lost
ODI # 3352,28-Mar-13,Bangladesh,25,Sri Lanka,Pallekele,lost,184,7,26,7.07,183,2,3 wickets,won
ODI # 3360,31-May-13,Newzealad,5,England,Lord's,won,231,5,46.5,4.93,228,2,5 wickets,won
ODI # 3360,31-May-13,England,1,New Zealand,Lord's,lost,227,9,50,4.54,,1,5 wickets,lost
ODI # 3361,02-Jun-13,Newzealad,5,England,Southampton,won,359,3,50,7.18,,1,86 runs,won
ODI # 3361,02-Jun-13,England,1,New Zealand,Southampton,lost,273,10,44.1,6.18,360,2,86 runs,lost
ODI # 3362,05-Jun-13,Newzealad,5,England,Nottingham,won,253,10,46.3,5.44,288,2,34 runs,lost
ODI # 3362,05-Jun-13,England,1,New Zealand,Nottingham,lost,287,6,50,5.74,,1,34 runs,won
ODI # 3363,06-Jun-13,SouthAfrica,3,India,Cardiff,won,305,10,50,6.1,332,2,26 runs,lost
ODI # 3363,06-Jun-13,India,6,South Africa,Cardiff,lost,331,7,50,6.62,,1,26 runs,won
ODI # 3364,07-Jun-13,WestIndies,4,Pakistan,The Oval,won,172,8,40.4,4.22,171,2,2 wickets,won
ODI # 3364,07-Jun-13,Pakistan,7,West Indies,The Oval,lost,170,10,48,3.54,,1,2 wickets,lost
ODI # 3365,08-Jun-13,England,1,Australia,Birmingham,won,269,6,50,5.38,,1,48 runs,won
ODI # 3365,08-Jun-13,Australia,2,England,Birmingham,lost,221,9,50,4.42,270,2,48 runs,lost
ODI # 3366,09-Jun-13,SriLanka,8,New Zealand,Cardiff,won,138,10,37.5,3.64,,1,1 wickets,lost
ODI # 3366,09-Jun-13,Newzealad,5,Sri Lanka,Cardiff,lost,139,9,36.3,3.8,139,2,1 wickets,won
ODI # 3367,10-Jun-13,SouthAfrica,3,Pakistan,Birmingham,won,234,9,50,4.68,,1,67 runs,won
ODI # 3367,10-Jun-13,Pakistan,7,South Africa,Birmingham,lost,167,10,45,3.71,235,2,67 runs,lost
ODI # 3368,11-Jun-13,WestIndies,4,India,The Oval,lost,233,9,50,4.66,,1,8 wickets,lost
ODI # 3368,11-Jun-13,India,6,West Indies,The Oval,won,236,2,39.1,6.02,234,2,8 wickets,won
ODI # 3370,13-Jun-13,SriLanka,8,England,The Oval,won,297,3,47.1,6.29,294,2,7 wickets,won
ODI # 3370,13-Jun-13,England,1,Sri Lanka,The Oval,lost,293,7,50,5.86,,1,7 wickets,lost
ODI # 3372,15-Jun-13,Pakistan,7,India,Birmingham,lost,165,10,39.4,4.15,,1,8 wickets,lost
ODI # 3372,15-Jun-13,India,6,Pakistan,Birmingham,won,102,2,19.1,5.32,102,2,8 wickets,won
ODI # 3373,16-Jun-13,Newzealad,5,England,Cardiff,won,159,8,24,6.62,170,2,10 runs,lost
ODI # 3373,16-Jun-13,England,1,New Zealand,Cardiff,lost,169,10,23.3,7.19,,1,10 runs,won
ODI # 3374,17-Jun-13,SriLanka,8,Australia,The Oval,lost,253,8,50,5.06,,1,20 runs,won
ODI # 3374,17-Jun-13,Australia,2,Sri Lanka,The Oval,won,233,10,42.3,5.48,254,2,20 runs,lost
ODI # 3375,19-Jun-13,SouthAfrica,3,England,The Oval,lost,175,10,38.4,4.52,,1,7 wickets,lost
ODI # 3375,19-Jun-13,England,1,South Africa,The Oval,won,179,3,37.3,4.77,176,2,7 wickets,won
ODI # 3376,20-Jun-13,SriLanka,8,India,Cardiff,lost,181,8,50,3.62,,1,8 wickets,lost
ODI # 3376,20-Jun-13,India,6,Sri Lanka,Cardiff,won,182,2,35,5.2,182,2,8 wickets,won
ODI # 3377,23-Jun-13,India,6,England,Birmingham,lost,129,7,20,6.45,,1,5 runs,won
ODI # 3377,23-Jun-13,England,1,India,Birmingham,won,124,8,20,6.2,130,2,5 runs,lost
ODI # 3378,28-Jun-13,WestIndies,4,Sri Lanka,Kingston,won,209,4,37.5,5.52,209,2,6 wickets,won
ODI # 3378,28-Jun-13,SriLanka,8,West Indies,Kingston,lost,208,10,48.3,4.28,,1,6 wickets,lost
ODI # 3380,30-Jun-13,WestIndies,4,India,Kingston,won,230,9,47.4,4.82,230,2,1 wickets,won
ODI # 3380,30-Jun-13,India,6,West Indies,Kingston,lost,229,7,50,4.58,,1,1 wickets,lost
ODI # 3382,02-Jul-13,SriLanka,8,India,Kingston,lost,348,1,50,6.96,,1,161 runs,won
ODI # 3382,02-Jul-13,India,6,Sri Lanka,Kingston,won,187,10,44.5,4.17,349,2,161 runs,lost
ODI # 3383,05-Jul-13,WestIndies,4,India,Port of Spain,won,171,10,34,5.02,274,2,102 runs,lost
ODI # 3383,05-Jul-13,India,6,West Indies,Port of Spain,lost,311,7,50,6.22,,1,102 runs,won
ODI # 3385,07-Jul-13,WestIndies,4,Sri Lanka,Port of Spain,won,190,9,41,4.63,230,2,39 runs,lost
ODI # 3385,07-Jul-13,SriLanka,8,West Indies,Port of Spain,lost,219,8,41,5.34,,1,39 runs,won
ODI # 3387,09-Jul-13,SriLanka,8,India,Port of Spain,won,96,10,24.4,3.89,178,2,81 runs,lost
ODI # 3387,09-Jul-13,India,6,Sri Lanka,Port of Spain,lost,119,3,29,4.1,,1,81 runs,won
ODI # 3388,11-Jul-13,SriLanka,8,India,Port of Spain,lost,201,10,48.5,4.11,,1,1 wickets,lost
ODI # 3388,11-Jul-13,India,6,Sri Lanka,Port of Spain,won,203,9,49.4,4.08,202,2,1 wickets,won
ODI # 3389,14-Jul-13,WestIndies,4,Pakistan,Providence,won,98,10,41,2.39,225,2,126 runs,lost
ODI # 3389,14-Jul-13,Pakistan,7,West Indies,Providence,lost,224,9,50,4.48,,1,126 runs,won
ODI # 3390,16-Jul-13,WestIndies,4,Pakistan,Providence,lost,232,8,50,4.64,,1,37 runs,won
ODI # 3390,16-Jul-13,Pakistan,7,West Indies,Providence,won,195,10,47.5,4.07,233,2,37 runs,lost
ODI # 3392,20-Jul-13,SriLanka,8,South Africa,Colombo (RPS),lost,320,5,50,6.4,,1,180 runs,won
ODI # 3392,20-Jul-13,SouthAfrica,3,Sri Lanka,Colombo (RPS),won,140,10,31.5,4.39,321,2,180 runs,lost
ODI # 3393,21-Jul-13,WestIndies,4,Pakistan,Gros Islet,lost,261,7,49,5.32,,1,6 wickets,lost
ODI # 3393,21-Jul-13,Pakistan,7,West Indies,Gros Islet,won,189,4,30,6.3,189,2,6 wickets,won
ODI # 3394,23-Jul-13,SriLanka,8,South Africa,Colombo (RPS),won,223,9,49.2,4.52,,1,17 runs,won
ODI # 3394,23-Jul-13,SouthAfrica,3,Sri Lanka,Colombo (RPS),lost,104,5,21,4.95,122,2,17 runs,lost
ODI # 3396,24-Jul-13,WestIndies,4,Pakistan,Gros Islet,lost,242,7,50,4.84,,1,4 wickets,lost
ODI # 3396,24-Jul-13,Pakistan,7,West Indies,Gros Islet,won,243,6,49.5,4.87,243,2,4 wickets,won
ODI # 3398,26-Jul-13,SriLanka,8,South Africa,Pallekele,lost,167,10,43.2,3.85,224,2,56 runs,lost
ODI # 3398,26-Jul-13,SouthAfrica,3,Sri Lanka,Pallekele,won,223,7,50,4.46,,1,56 runs,won
ODI # 3400,28-Jul-13,SriLanka,8,South Africa,Pallekele,lost,239,2,44,5.43,239,2,8 wickets,won
ODI # 3400,28-Jul-13,SouthAfrica,3,Sri Lanka,Pallekele,won,238,10,48.4,4.89,,1,8 wickets,lost
ODI # 3401,31-Jul-13,SriLanka,8,South Africa,Colombo (RPS),won,307,4,50,6.14,,1,128 runs,won
ODI # 3401,31-Jul-13,SouthAfrica,3,Sri Lanka,Colombo (RPS),lost,179,10,43.5,4.08,308,2,128 runs,lost
ODI # 3412,08-Sep-13,England,1,Australia,Manchester,won,227,10,44.2,5.12,316,2,88 runs,lost
ODI # 3412,08-Sep-13,Australia,2,England,Manchester,lost,315,7,50,6.3,,1,88 runs,won
ODI # 3415,14-Sep-13,England,1,Australia,Cardiff,won,231,7,49.3,4.66,228,2,3 wickets,won
ODI # 3415,14-Sep-13,Australia,2,England,Cardiff,lost,227,10,48.2,4.69,,1,3 wickets,lost
ODI # 3416,16-Sep-13,England,1,Australia,Southampton,lost,249,10,48,5.18,299,2,49 runs,lost
ODI # 3416,16-Sep-13,Australia,2,England,Southampton,won,298,10,49.1,6.06,,1,49 runs,won
ODI # 3419,13-Oct-13,India,6,Australia,Pune,lost,232,10,49.4,4.67,305,2,72 runs,lost
ODI # 3419,13-Oct-13,Australia,2,India,Pune,won,304,8,50,6.08,,1,72 runs,won
ODI # 3420,16-Oct-13,India,6,Australia,Jaipur,lost,362,1,43.3,8.32,360,2,9 wickets,won
ODI # 3420,16-Oct-13,Australia,2,India,Jaipur,won,359,5,50,7.18,,1,9 wickets,lost
